case,selected_final_source,runtime,accepted_repairs,E_wait,E_memory_new,E_finish,raw_metric_delta_sum,destroy_set_size_total,beam_width,guard_triggered
case072.in,v7_operator_5,1.040194,18,0.0,7934130.0,20501.0,-2880.0,828,8,0
case073.in,fast_v1d_light,32.773032,0,73647700.0,20046100.0,15435.0,0.0,0,4,1
case074.in,v5_heavy,2.437262,0,6973600.0,27940100.0,18832.0,0.0,0,4,1
case075.in,combo_r2_p3_b12,0.779278,0,1065480.0,29144600.0,15929.0,0.0,0,4,1
case076.in,v7_operator_5,0.828805,17,0.0,12010400.0,20525.0,92400.0,450,4,0
case077.in,v6_seed_2,44.095997,0,120819000.0,23482600.0,19224.0,0.0,0,4,1
case078.in,v5_heavy,6.031187,0,11688600.0,41180200.0,18647.0,0.0,0,4,1
case079.in,v5_heavy,0.753882,0,1041880.0,32407300.0,16129.0,0.0,0,4,1
case080.in,v7_operator_4,1.054088,15,0.0,17656600.0,20534.0,207400.0,450,4,0
case081.in,v6_seed_0,24.666966,0,155191000.0,35426300.0,21990.0,0.0,0,4,1
case082.in,v6_seed_1,4.283489,0,11170000.0,37741600.0,19243.0,0.0,0,4,1
case083.in,v5_heavy,1.466663,0,3459790.0,43494400.0,16295.0,0.0,75,4,1
case084.in,v7_operator_5,1.018511,13,0.0,20017100.0,20430.0,70900.0,450,4,0
case085.in,v6_seed_5,34.883015,0,171064000.0,32235700.0,21251.0,0.0,0,4,1
case086.in,v6_seed_0,8.527444,0,16415300.0,54554800.0,18864.0,0.0,0,4,1
case087.in,v5_heavy,1.243155,0,2474570.0,41076200.0,16008.0,0.0,25,4,1
case088.in,v7_operator_5,1.216763,15,0.0,19953000.0,20489.0,-68100.0,450,4,0
case089.in,v6_seed_1,44.467390,0,233739000.0,35989400.0,22146.0,0.0,0,4,1
case090.in,v6_seed_6,12.160643,0,20289400.0,53803300.0,19349.0,0.0,0,4,1
case091.in,fast_v1d_light,10.244924,0,284814000.0,52770100.0,73774.0,0.0,0,8,1
case092.in,v6_seed_33,7.723264,0,239276000.0,43736300.0,70605.0,0.0,0,8,1
case093.in,v6_seed_22,11.236056,0,248697000.0,56408900.0,63709.0,0.0,0,8,1
case094.in,v6_seed_6,30.259453,0,588240000.0,81417700.0,89170.0,0.0,0,8,1
case095.in,v5_heavy,43.570056,0,1187620000.0,115186000.0,121771.0,0.0,0,4,1
case096.in,v6_seed_4,36.530092,0,1410000000.0,113093000.0,147840.0,0.0,0,4,1
case097.in,v6_seed_2,18.740163,0,950867000.0,122629000.0,94815.0,0.0,0,4,1
case098.in,v6_seed_6,23.066299,0,1746430000.0,139477000.0,146197.0,0.0,0,4,1
case099.in,fast_v1c,34.538583,0,2203470000.0,177977000.0,150882.0,0.0,0,4,1
case100.in,v6_seed_1,38.426114,0,3038840000.0,193401000.0,191414.0,0.0,0,4,1
