case,V6_E_wait,V6_E_memory_new,V6_E_finish,selected_skeleton,selected_E_wait,selected_E_memory_new,selected_E_finish,E_wait_delta,E_memory_delta,E_finish_delta,runtime,case_profile,hard_job_count,protected_job_count,window_size,candidate_source
case088.in,0.0,20021100.0,20489.0,reservation_top3_strict,0.0,19678300.0,20489.0,0.0,-342800.0,0.0,0.051961,large_dense,0,3,0,reservation_profile
case089.in,233739000.0,35989400.0,22146.0,v6_safe,233739000.0,35989400.0,22146.0,0.0,0.0,0.0,51.772783,large_dense,0,0,0,v6_safe
case090.in,20289400.0,53803300.0,19349.0,v6_safe,20289400.0,53803300.0,19349.0,0.0,0.0,0.0,12.998745,large_dense,0,0,0,v6_safe
case091.in,284814000.0,52770100.0,73774.0,v6_safe,284814000.0,52770100.0,73774.0,0.0,0.0,0.0,11.244406,memory_dominated,0,0,0,v6_safe
case092.in,239276000.0,43736300.0,70605.0,v6_safe,239276000.0,43736300.0,70605.0,0.0,0.0,0.0,6.776223,memory_dominated,0,0,0,v6_safe
case093.in,248697000.0,56408900.0,63709.0,v6_safe,248697000.0,56408900.0,63709.0,0.0,0.0,0.0,10.859278,memory_dominated,0,0,0,v6_safe
case094.in,588240000.0,81417700.0,89170.0,v6_safe,588240000.0,81417700.0,89170.0,0.0,0.0,0.0,28.116112,memory_dominated,0,0,0,v6_safe
case095.in,1187620000.0,115186000.0,121771.0,v6_safe,1187620000.0,115186000.0,121771.0,0.0,0.0,0.0,43.787406,memory_dominated,0,0,0,v6_safe
case096.in,1410000000.0,113093000.0,147840.0,reservation_top5_slack,1412120000.0,112491000.0,147950.0,2120000.0,-602000.0,110.0,0.669790,memory_dominated,0,5,0,reservation_profile
case097.in,950867000.0,122629000.0,94815.0,v6_safe,950867000.0,122629000.0,94815.0,0.0,0.0,0.0,20.595829,large_dense,0,0,0,v6_safe
case098.in,1746430000.0,139477000.0,146197.0,reservation_top10_slack,1748280000.0,138693000.0,146310.0,1850000.0,-784000.0,113.0,1.546120,large_dense,0,10,0,reservation_profile
case099.in,2203470000.0,177977000.0,150882.0,reservation_top3_strict,2203740000.0,177828000.0,150880.0,270000.0,-149000.0,-2.0,1.572348,large_dense,0,3,0,reservation_profile
case100.in,3038840000.0,193401000.0,191414.0,reservation_top3_strict,3038220000.0,192537000.0,191348.0,-620000.0,-864000.0,-66.0,1.774477,large_dense,0,3,0,reservation_profile
