profile,legal_cases,avg_delta_E_wait,wait_better_cases,wait_worse_cases,avg_delta_E_memory,memory_better_cases,memory_worse_cases,avg_delta_E_finish,finish_better_cases,finish_worse_cases
v1a_task_ordering,100,-71233039.470,56,3,-1.580,24,24,-26.750,24,24
v1b_filter_score,100,-71175636.680,66,4,-3.366,28,24,-28.290,28,24
